05/17/2013, DISORDERLY CONDUCT, 05/17/2013, 01:02, Location, Closed by Arrest, 0213001276-OF
05/17/2013, WINDOW BREAKING, 05/16/2013, 08:20, 91 MANSFIELD ST, Closed, 0213001270-OF
05/17/2013, DISORDERLY CONDUCT, 05/17/2013, 15:46, 344 WINCHESTER AVE, Closed by Arrest, 0113022573-OF
05/17/2013, WINDOW BREAKING, 05/17/2013, 17:52, 77 BROADWAY ST, Closed, 0213001282-OF
05/18/2013, WINDOW BREAKING, 05/17/2013, 23:29, 432 TEMPLE ST, Open, 0213001285-OF
05/18/2013, THEFT-GREATER-FROM MOTOR VEHICLE, 05/17/2013, 22:13, 41 WASHINGTON AVE, Open, 0213001284-OF
05/18/2013, THEFT-GREATER-UNIVERSITY RESIDENCE BUILDING, 05/18/2013, 17:22, 225 WASHINGTON AVE, Closed, 0213001292-OF
05/18/2013, OTHER LIQUOR OFFENSES, 05/18/2013, 17:45, 205 ELM ST, Closed, 0113022777-OF
05/19/2013, THEFT-GREATER-UNIVERSITY ACADEMIC BUILDING, 05/19/2013, 15:41, 285 COLLEGE ST, Closed, 0213001299-OF
05/19/2013, BURGLARY-SCHOOL/COLLEG E/UNIVERSITY-NON FORCIBLE, 05/19/2013, 17:29, 168 GROVE ST, Closed, 0213001301-OF
05/20/2013, HARASSMENT, 05/20/2013, 11:25, Location, Open, 0213001305-OF
05/20/2013, THEFT FROM AUTO, 05/19/2013, 13:46, 333 CEDAR ST, Open, 0113023012-OF
05/20/2013, BREACH OF PEACE, 05/20/2013, 21:28, GROVE ST, Closed by Arrest, 0113023093-OF
05/21/2013, DISORDERLY CONDUCT, 05/21/2013, 01:11, Location, Closed by Arrest, 0113023110-OF
05/21/2013, CRIMINAL MISCHIEF-PRIVATE PROPERTY, 05/21/2013, 08:51, CROWN ST, Open, 0213001312-OF
05/21/2013, THEFT-GREATER-BICYCLES, 05/21/2013, 16:17, AMISTAD ST, Closed, 0113023203-OF
05/21/2013, BURGLARY-SCHOOL/COLLEGE /UNIVERSITY-NON FORCIBLE, 05/21/2013, 15:20, 208 ELM ST, Closed, 0213001321-OF
05/21/2013, THEFT-GREATER-FROM MOTOR VEHICLE, 05/21/2013, 21:46, 68 HIGH ST, Closed, 0113023269-OF
05/21/2013, THEFT-GREATER-BICYCLES, 05/21/2013, 21:50, TEMPLE ST, Open, 0113023274-OF
05/22/2013, THREATENING, 05/21/2013, 14:04, Location, Closed, 0213001320-OF
05/22/2013, THEFT-GREATER-UNIVERSITY ACADEMIC BUILDING, 05/22/2013, 12:40, 250 S FRONTAGE RD, Open, 0213001315-OF
05/22/2013, THEFT GREATER MISCELLANEOUS, 05/21/2013, 13:53, 222 YORK ST, Open, 0213001317-OF
05/22/2013, SEX ASSAULT-FORCIBLE, //, 00:01, 261 PARK ST, Closed, 13-5-OF
05/22/2013, THEFT-GREATER-FROM MOTOR VEHICLE, 05/22/2013, 14:12, ON/OFF CAMPUS: UNKN LOC, Closed by Arrest, 01130023385-OF
05/23/2013, HARASSMENT, 05/23/2013, 12:40, Location, Closed, 0113023554-OF
05/23/2013, THEFT GREATER MISCELLANEOUS, 05/23/2013, 00:01, 255 YORK ST, Open, 13-7-OF
05/23/2013, THEFT-GREATER-FROM MOTOR VEHICLE, 05/23/2013, 19:23, 400 W CAMPUS DR, Closed, 0113023622-OF
05/24/2013, DRIVING WHILE INTOXICATED-ALCOHOL, 05/24/2013, 04:14, Location, Closed by Arrest, 0113023675-OF
05/25/2013, POSSESSION OF NARCOTICS-GENERAL, 05/25/2013, 01:02, 49 HOWE ST, Closed by Arrest, 0113023835-OF
05/25/2013, CRIMINAL MISCHIEF-PUBLIC PROPERTY, 05/25/2013, 02:35, 17 EDGEWOOD AVE, Closed, 0113023842-OF
05/25/2013, WARRANT SERVICE, 05/25/2013, 19:50, 15 BROADWAY, Closed by Arrest, 0111046722-OF
05/26/2013, THEFT GREATER MISCELLANEOUS, 05/26/2013, 15:42, CHAPEL ST, Open, 0113024070-OF
05/26/2013, OTHER LIQUOR OFFENSES, 05/26/2013, 17:17, 1 HILLHOUSE AVE, Closed by Arrest, 0113024083-OF
05/26/2013, THEFT-GREATER-FROM MOTOR VEHICLE, 05/26/2013, 19:14, HIGH ST, Closed by Arrest, 0213001356-OF
05/26/2013, ROBBERY-STRT-FIREARM, 05/26/2013, 17:01, 251 DERBY AVE, Closed by Arrest, 0213001354-OF
05/27/2013, DRIVING WHILE INTOXICATED-ALCOHOL, 05/27/2013, 00:51, Location, Closed by Arrest, 0113024157-OF
05/27/2013, THEFT GREATER MISCELLANEOUS, 05/25/2013, 18:39, 40 NORTH FRONTAGE RD, Open, 0213001348-OF
05/28/2013, SIMPLE ASSAULT, 05/28/2013, 00:05, Location, Closed, 0113024289-OF
05/28/2013, THEFT MISCELLANEOUS, 05/28/2013, 07:20, BROADWAY ST, Closed, 0213001367-OF
05/28/2013, THEFT GREATER MISCELLANEOUS, 05/28/2013, 11:10, 150 MUNSON ST, Closed, 0213001371-OF
05/28/2013, CRIMINAL MISCHIEF-PRIVATE PROPERTY, 05/28/2013, 11:12, 150 MUNSON ST, Closed, 0213001370-OF
05/28/2013, THEFT-GREATER-ATTEMPTED, 05/28/2013, 18:45, 217 PROSPECT ST, Closed, 0113024435-OF
05/29/2013, THEFT GREATER MISCELLANEOUS, 05/25/2013, 18:39, Location, Open, 0113024353-OF
05/29/2013, THEFT-BICYCLE, 05/29/2013, 14:22, 285 COLLEGE ST, Open, 0213001376-OF
05/29/2013, THEFT-GREATER-BICYCLES, 05/29/2013, 17:26, 505 COLLEGE ST, Closed, 0213001379-OF
05/30/2013, DISPUTE-NO DISTURBANCE, 05/29/2013, 14:18, Location, Closed, 0113024551-OF
05/30/2013, THEFT-GREATER-UNIVERSITY RESIDENCE BUILDING, 05/30/2013, 18:04, 111 PARK ST, Closed, 0213001389-OF
05/30/2013, CRIMINAL TRESPASS, 05/30/2013, 19:23, 300 COLLEGE ST, Closed by Arrest, 0113024830-OF
06/20/2013, DISPUTE-NO DISTURBANCE, 06/20/2013, 00:26, 281 TEMPLE ST, Closed, 0113028137-OF
06/20/2013, BREACH OF PEACE, 06/19/2013, 19:14, 1006 CHAPEL ST, Closed by Arrest, 0113028100-OF
06/20/2013, WARRANT SERVICE, 06/19/2013, 19:14, CHAPEL ST, Closed by Arrest, 0112061494-OF
06/20/2013, WANTED PERSON OTHER TOWN, 06/20/2013, 02:15, CHURCH ST, Closed by Arrest, 0113028152-OF
06/20/2013, BREACH OF PEACE, 06/20/2013, 01:22, GEORGE ST, Closed by Arrest, 0113028149-OF
06/20/2013, THEFT-GREATER-UNIVERSITY ACADEMIC BUILDING, 06/17/2013, 14:29, 52 HILLHOUSE AVE, Open, 0213001532-OF
06/20/2013, THEFT GREATER MISCELLANEOUS, 06/20/2013, 13:46, HOWARD AVE, Closed, 0113028221-OF
06/21/2013, THEFT-GREATER-BICYCLES, 06/20/2013, 20:51, 367 CEDAR ST, Closed by Arrest, 0113028283-OF
06/21/2013, DISORDERLY CONDUCT, 06/21/2013, 00:13, 250 TEMPLE ST, Closed, 0113028316-OF
06/21/2013, POSSESSION OF ALCOHOL BY A MINOR, 06/19/2013, 23:34, 66 ASHMUN ST, Closed, 0213001555-OF
06/21/2013, POSSESSION OF MARIJUANA, 06/20/2013, 23:15, 320 YORK ST, Closed, 0113028308-OF
06/21/2013, DISPUTE-NO DISTURBANCE, 06/21/2013, 10:30, 55 LOCK ST, Closed, 0213001568-OF
06/21/2013, BREACH OF PEACE, 06/21/2013, 10:37, 70 TOWER PKWY, Closed by Arrest, 0213001569-OF
06/21/2013, DISORDERLY CONDUCT, 06/21/2013, 12:20, 270 YORK ST, Closed by Arrest, 0113028367-OF
06/22/2013, PUBLIC INDECENCY-INDECENT, 06/21/2013, 22:32, 15 YORK ST, Closed by Arrest, 0113028481-OF
06/22/2013, BURGLARY-SCHOOL/COLLEGE /UNIVERSITY-NON FORCIBLE, 06/22/2013, 20:27, 300 COLLEGE ST, Open, 0213001580-OF
06/23/2013, DISORDERLY CONDUCT, 06/23/2013, 01:13, 208 ELM ST, Closed, 0113028674-OF
06/23/2013, CARRYING A CONCEALED WEAPON, 06/22/2013, 19:16, 46 HIGH ST, Closed, 0113028605-OF
06/23/2013, THEFT-GREATER-UNIVERSITY ACADEMIC BUILDING, 06/23/2013, 12:03, 220 S FRONTAGE RD, Open, 0213001584-OF
06/23/2013, THEFT-GREATER-FROM MOTOR VEHICLE-NON AUTO, 06/23/2013, 16:33, HILLHOUSE AVE, Open, 0113028759-OF
