12/31/2013, SEX ASSAULT-FORCIBLE, 01/31/2012, 00:01, RESIDENTIAL COLLEGE BLDG, Closed, 13-30-OF
12/31/2013, SEX ASSAULT-FORCIBLE, 03/25/2012, 00:01, RESIDENTIAL BLDG, Closed, 13-31-OF
12/31/2013, SEX ASSAULT-FORCIBLE, 05/01/2011, 00:01, OFF-CAMPUS APARTMENT, Closed, 13-32-OF
12/31/2013, SEX ASSAULT-FORCIBLE, 09/08/2012, 00:01, RESIDENTIAL COLLEGE BLDG, Closed, 13-33-OF
12/31/2013, SEX ASSAULT-FORCIBLE, 09/18/2012, 00:01, OFF-CAMPUS RETREAT, Closed, 13-34-OF
12/31/2013, SEX ASSAULT-FORCIBLE, 10/01/2011, 00:01, RESIDENTIAL COLLEGE BLDG, Open, 13-35-OF
01/01/2014, POSSESSION OF MARIJUANA, 01/01/2014, 00:35, 268 SOUTH FRONTAGE RD, Closed, 0114000006-OF
01/01/2014, POSSESSION OF MARIJUANA, 12/31/2013, 00:18, 63 SACHEM ST, Closed by Arrest, 0113061854-OF
01/01/2014, DISPUTE-NO DISTURBANCE, 01/01/2014, 02:35, 1 DIXWELL AVE, Closed, 0114000027-OF
01/01/2014, ILLEGAL POSSESSION OF A WEAPON, 01/01/2014, 13:27, 512 VALLEY ST, Closed by Arrest, 0114000072-OF
01/01/2014, WARRANT SERVICE, 01/01/2014, 13:27, 512 VALLEY ST, Closed by Arrest, 0112007088-OF
01/03/2014, THEFT-GREATER-ATTEMPTED, 01/03/2014, 15:02, 170 WHITNEY AVE, Closed, 0214000017-OF
01/05/2014, ROBBERY-STRT-OTH WEAPON, 01/05/2014, 18:20, 367 CEDAR ST, Open, 0114000618-OF
01/06/2014, THEFT-GREATER-ATTEMPTED, 01/06/2014, 11:27, 272 WHITNEY AVE, Closed, 0214000043-OF
01/08/2014, THEFT-GREATER-PUBLIC BUILDING, 01/08/2014, 22:07, 70 TOWER PKY, Open, 0214000061-OF
01/09/2014, THEFT UNIVERSITY ACADEMIC BUILDING, 01/08/2014, 12:00, 219 PROSPECT ST, Closed, 0214000068-OF
01/09/2014, WARRANT SERVICE, 01/09/2014, 19:17, 84 WALL ST, Open, 0113051770-OF
01/09/2014, WANTED PERSON OTHER TOWN, 01/09/2014, 20:29, 1 UNION AVE, Closed by Arrest, 0114001340-OF
01/10/2014, HARASSMENT, 01/08/2014, 11:30, 1 PROSPECT ST, Open, 0214000076-OF
01/10/2014, THEFT-GREATER-BICYCLES, 01/07/2014, 15:02, 55 WHITNEY AVE, Open, 0214000080-OF
01/10/2014, POSSESSION OF MARIJUANA, 01/10/2014, 18:56, 50 NORTH FRONTAGE RD, Closed by Arrest, 0114001535-OF
01/11/2014, POSSESSION OF PARAPHERNALIA, 01/10/2014, 23:43, 130 PARK ST, Closed by Arrest, 0114001601-OF
01/11/2014, THEFT-SHOPLIFTING, 01/11/2014, 16:46, 43 BROADWAY ST, Closed by Arrest, 0114001705-OF
01/12/2014, CRIMINAL MISCHIEF-PRIVATE PROPERTY, 01/12/2014, 01:40, 801 HOWARD AVE, Closed, 0214000094-OF
01/12/2014, THEFT-BICYCLE, 01/11/2014, 22:58, 330 COLLEGE ST, Closed, 0214000092-OF
01/12/2014, POSSESSION OF DANGEROUS OR CONTROLLED DRUGS, 01/12/2014, 17:46, 189 ELM ST, Open, 0214000100-OF
01/13/2014, DISPUTE-NO DISTURBANCE, 01/13/2014, 02:10, 189 ELM ST, Closed, 0214000102-OF
01/13/2014, CONFIDENCE-FLIM FLAM, 01/06/2014, 12:21, 101 ASHMUN ST, Open, 0114002005-OF
01/13/2014, WANTED PERSON OTHER TOWN, 01/13/2014, 13:32, 643 HOWARD AVE, Closed by Arrest, 0114002015-OF
01/13/2014, WANTED PERSON OTHER TOWN, 01/13/2014, 13:33, 643 HOWARD AVE, Closed by Arrest, 0114002016-OF
01/13/2014, THEFT UNIVERSITY ACADEMIC BUILDING, 01/13/2014, 17:10, 9 HILLHOUSE AVE, Closed, 0214000107-OF
01/13/2014, THEFT-GREATER-UNIVERSITY RESIDENCE BUILDING, 01/13/2014, 20:09, 304 YORK ST, Closed, 0214000109-OF
01/14/2014, THEFT-GREATER-UNIVERSITY ACADEMIC BUILDING, 01/10/2014, 16:00, 367 CEDAR ST, Open, 0214000112-OF
01/14/2014, THEFT UNIVERSITY ACADEMIC BUILDING, //, 10:03, 367 CEDAR ST, Open, 0214000113-OF
01/14/2014, CRIMINAL IMPERSONATION-NON POLICE, //, 14:53, 242 ELM ST, Closed, 0114002175-OF
01/14/2014, THEFT-GREATER-BICYCLES, 01/14/2014, 19:49, 358 COLLEGE ST, Closed, 0214000116-OF
01/15/2014, THEFT UNIVERSITY RESIDENCE BUILDING, 01/15/2014, 21:59, 70 TOWER PKY, Open, 0214000125-OF
01/16/2014, BURGLARY-SCHOOL/COLLEGE /UNIVERSITY-NON FORCIBLE, 01/16/2014, 09:25, 302 YORK ST, Open, 0214000129-OF
01/16/2014, INTERFERING WITH AN OFFICER, 01/16/2014, 19:10, 34 HILLHOUSE AVE, Closed by Arrest, 0214000131-OF
01/17/2014, DRIVING WHILE INTOXICATED-ALCOHOL, 01/17/2014, 01:41, 208 ELM ST, Closed by Arrest, 0114002638-OF
